experiment_id,section,task,model_or_component,comparison_role,config_path,seeds_required,seeds_available,status,evidence_path,train_command,evaluate_command,expected_artifact,claim_boundary,notes
baseline_rule_only_bach_s2s,matched_baseline,soprano_to_satb,Rule-only baseline,baseline,configs/chorale_main.yaml,1,0,pending,results/rule_only_bach_metrics.json,,.\.venv\Scripts\python.exe -m chorale.evaluate_rule_baseline --config configs\chorale_main.yaml --output results\rule_only_bach_metrics.json,results/rule_only_bach_metrics.json,No likelihood metrics are available for this deterministic baseline.,Run this before presenting a complete matched-baseline table.
baseline_lstm_bach_s2s,matched_baseline,soprano_to_satb,LSTM baseline,baseline,configs/chorale_lstm.yaml,1,1,completed,results/lstm_metrics.json,.\.venv\Scripts\python.exe -m chorale.train --config configs\chorale_lstm.yaml,.\.venv\Scripts\python.exe -m chorale.evaluate --config configs\chorale_lstm.yaml --output results\lstm_metrics.json,results/project1_metrics.csv,Single-seed aggregate unless repeated seeds are run.,
baseline_vanilla_transformer_bach_s2s,matched_baseline,soprano_to_satb,Vanilla Transformer,baseline,configs/chorale_transformer_no_constraints.yaml,3,3,completed_multiseed,results/vanilla_transformer_robustness_summary.json,.\.venv\Scripts\python.exe -m chorale.robustness --config configs\chorale_transformer_no_constraints.yaml --seeds 2026 2027 2028 --run-root runs\vanilla_transformer_formal_multiseed --out-csv results\vanilla_transformer_multiseed_summary.csv --out-json results\vanilla_transformer_robustness_summary.json,,results/vanilla_transformer_multiseed_summary.csv,Same-corpus Bach split only; no SOTA claim.,"Existing seeds: 2026,2027,2028"
baseline_transformer_without_constraints_bach_s2s,matched_baseline,soprano_to_satb,Transformer without constraints,baseline,configs/chorale_transformer_no_constraints.yaml,3,3,completed_multiseed_same_as_vanilla,results/vanilla_transformer_robustness_summary.json,,,,This row is the same no-constraints model family as the vanilla Transformer.,
baseline_current_rule_guided_bach_s2s,matched_baseline,soprano_to_satb,Current rule-guided Transformer,current_model,configs/chorale_rule_guided_decoding.yaml,3,3,completed_multiseed,results/project1_robustness_summary.json,.\.venv\Scripts\python.exe -m chorale.robustness --config configs\chorale_rule_guided_decoding.yaml --seeds 2026 2027 2028,,results/project1_multiseed_summary.csv,Same-corpus Bach split only.,"Existing seeds: 2026,2027,2028"
baseline_cih_s2s_bach_s2s,matched_baseline,soprano_to_satb,CIH-S2S Transformer,new_model,configs/cih_s2s_4060ti_16gb.yaml,3,3,completed_multiseed,results/cih_s2s_robustness_summary.json,.\.venv\Scripts\python.exe -m chorale.robustness --config configs\cih_s2s_4060ti_16gb.yaml --seeds 2026 2027 2028 --run-root runs\cih_s2s_formal_multiseed --out-csv results\cih_s2s_multiseed_summary.csv --out-json results\cih_s2s_robustness_summary.json,,results/cih_s2s_multiseed_summary.csv,"Same-corpus Bach split only; no SOTA, expert-preference, or external-robustness claim.","Existing seeds: 2026,2027,2028"
baseline_deepbach_style_pseudogibbs,matched_baseline,masked_infill,DeepBach-style pseudo-Gibbs baseline,todo_baseline,,1,0,todo_not_implemented,,,,,Do not report results until a real baseline is implemented and evaluated.,Feasible future implementation: conditional pseudo-Gibbs over SATB tokens with the same split and tokenizer.
baseline_coconet_style_infilling,matched_baseline,masked_infill,Coconet-style infilling baseline,todo_baseline,,1,0,todo_not_implemented,,,,,Do not report results until a real baseline is implemented and evaluated.,Feasible future implementation: orderless masked self-attention infilling on the same symbolic grid.
task_masked_satb_infilling,task,masked_infill,Masked SATB infilling,main_task,configs/chorale_masked_infilling.yaml,1,1,completed_single_seed,results/masked_infilling_metrics.json,,,,Single-seed unless repeated seeds are run.,
task_bass_to_satb,task,bass_to_satb,Bass-to-SATB,optional_task,,1,0,todo_protocol_only,,,,,Optional task; no result can be claimed yet.,
task_partial_score_completion,task,partial_score_completion,Partial-score completion,optional_task,,1,0,covered_by_masked_infill_protocol_pending_formal_split,,,,,Needs a dedicated mask taxonomy before a separate claim.,
ablation_no_harmonic_conditioning,component_ablation,soprano_to_satb,No harmonic conditioning,ablation,configs/chorale_ablation_no_harmony.yaml,1,1,completed_single_seed,results/ablation_no_harmony_metrics.json,,,,,
ablation_no_voice_relation_attention,component_ablation,soprano_to_satb,No voice-relation attention,ablation,configs/chorale_ablation_no_voice_relation.yaml,1,1,completed_single_seed,results/ablation_no_voice_relation_enhanced_metrics.json,,,,,
ablation_no_bar_level_attention_cih,component_ablation,soprano_to_satb,CIH no bar-level attention,ablation,configs/cih_s2s_no_bar_summary.yaml,1,0,planned_config_pending,,,,,CIH ablation must be trained before reporting.,
ablation_no_iterative_refinement,component_ablation,soprano_to_satb,No iterative refinement,ablation,configs/chorale_ablation_no_iterative_refinement.yaml,1,1,completed_single_seed,results/ablation_no_iterative_refinement_metrics.json,,,,,
ablation_no_constrained_decoding_cih,constraint_decoding_analysis,soprano_to_satb,CIH no constrained decoding,ablation,configs/cih_s2s_no_constrained_decoding.yaml,1,0,planned_config_pending,,,,,Must compare to the same checkpoint/config family.,
ablation_local_repair_vs_constrained_beam,constraint_decoding_analysis,soprano_to_satb,Local rule repair vs constrained beam,ablation,configs/cih_s2s_4060ti_16gb.yaml,1,0,completed_single_checkpoint,results/constraint_decoder_analysis_summary.csv,.\.venv\Scripts\python.exe scripts\run_constraint_decoder_analysis.py --config runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml --checkpoint runs\cih_s2s_formal_multiseed\seed_2026\best.pt --out-csv results\constraint_decoder_analysis.csv --out-json results\constraint_decoder_analysis_summary.json --export-samples 4,,,One trained CIH checkpoint; automatic diagnostics only; not a complete solver or universal rule-reduction claim.,
ablation_hard_constraints_only,constraint_decoding_analysis,soprano_to_satb,Hard constraints only,ablation,configs/cih_s2s_hard_constraints_only.yaml,1,0,planned_config_pending,,,,,,
ablation_soft_constraints_only,constraint_decoding_analysis,soprano_to_satb,Soft constraints only,ablation,configs/cih_s2s_soft_constraints_only.yaml,1,0,planned_config_pending,,,,,,
sensitivity_topk_beamsize,constraint_decoding_analysis,soprano_to_satb,Top-k / beam-size sensitivity,sensitivity,configs/cih_s2s_4060_8gb.yaml,1,0,completed_single_checkpoint,results/constraint_decoder_analysis_summary.csv,,,,Limit grid to 4060-friendly beam sizes; current evidence is one trained CIH checkpoint.,
sensitivity_hidden_depth_4060,component_ablation,soprano_to_satb,Hidden-size/depth sensitivity,sensitivity,configs/cih_s2s_4060_8gb.yaml,1,0,planned,,,,,Do not exceed 4060/4060 Ti memory envelope.,
